глава,тип,общий вопрос/тема,ответ/объяснение
3/4/2,Характеристика,Обладает ли вакф правосубъектностью?,Давакф обладает правосубъектностью и финансовой ответственностьючто позволяет ему принимать и давать обязательства. Правосубъектность вакфа полностью отделена от правосубъектности его управляющего.
3/4/3/1,Постановление Шариата,Можно ли учреждать вакф на недвижимое и движимое имущество?,Вакф дозволен в отношении недвижимости с постоянной мебелью и оборудованиема также в отношении движимых активовнезависимо от тогоявляются ли они частью недвижимости или самостоятельными.
3/4/3/2,Постановление Шариата,Можно ли учреждать вакф на деньги?,Давакф на деньги дозволен. Доходполученный от использования денегдолжен расходоватьсясохраняя при этом основную сумму. Использование может включать шариатское кредитование и дозволенные инвестициитакие как Мудараба.
3/4/3/4,Постановление Шариата,Можно ли учреждать вакф на акции и сукук?,Давакф дозволен на акции и сукукпризнанные Шариатом. Доход от них расходуется на бенефициаров вакфа. В случае ликвидации применяются правила Истибдаля (обмена имущества вакфа).
3/4/4/1,Постановление Шариата,Можно ли учредить вакф на имущество в общей собственности?,Давакф может быть учрежден на имущество в общей собственностинезависимо от тогоделимо оно или нет. Все имущество (кроме акций и сукук) может быть сдано в арендуи вакф получает свою долю арендной платы.
3/4/4/2,Постановление Шариата,"Что делать, если управляющий вакфа или партнер по общей собственности требует раздела имущества?",Если имущество неделимоотказывающаяся сторона должна быть принуждена к продаже. Доход от продажи используется для покупки аналогичного имущества для вакфа. Если имущество делимоотказывающаяся сторона должна быть принуждена к разделу.
3/4/5,Постановление Шариата,Можно ли учредить вакф на этаж в здании или на сервитут?,Давакф может быть учрежден на этаж в здании или на сервитут (Haqq al-Irtifaq) в еще не построенном здании.
3/4/6,Постановление Шариата,Можно ли учредить вакф на узуфрукт (право пользования)?,Давакф может быть узуфруктом активакоторый вакиф приобрел через аренду. Вакиф может сдать актив в субарендуи доходы пойдут бенефициарам вакфа. В этом случае вакф должен быть временнымсоответствующим сроку первоначальной аренды.
4/1/1,Постановление Шариата,Имеет ли право вакиф (учредитель) устанавливать условия для вакфа?,Давакиф имеет право устанавливать любые условияне противоречащие Шариатуи эти условия имеют такую же силукак и условия Шариата. Условия должны толковаться с учетом преобладающих норм.
4/1/2,Примеры,Какие условия может установить вакиф?,"Вакиф может установить, что его долги должны быть погашены из дохода вакфа после его смерти; или что доход должен идти ему при жизни, затем его семье, а затем на благотворительность; или что доход сначала должен тратиться на обедневших членов его семьи."
4/1/3,Постановление Шариата,"Когда условие, установленное вакифом, считается недействительным?",Условие недействительноесли оно содержит недозволенный элементнарушает постановления Шариата о вакфе или наносит вред имуществу вакфа. В таких случаях условие отклоняетсяно сам вакф остается действительным.
5/1,Принцип управления,Чем следует руководствоваться при надзоре и управлении вакфом?,Надзор и управление вакфом должны соответствовать шариатским постановленияма затем условиям вакифаесли они не противоречат Шариату и не ущемляют интересы вакфа с точки зрения судебной власти.
5/2,Задача управляющего,Каковы основные задачи управляющего вакфом?,"Задачи включают: управление, содержание и развитие вакфа; сдачу в аренду активов или узуфруктов вакфа; развитие имущества вакфа дозволенными методами; приумножение денежных средств вакфа через Мудараба и т.п.; изменение операционной формы активов для максимизации выгоды."
5/3/1,Запрет для управляющего,Запрещено ли управляющему пренебрегать условиями вакифа?,Дауправляющий вакфом не должен пренебрегать условиямиустановленными вакифом.
5/3/2,Запрет для управляющего,Может ли управляющий вакфом сдавать имущество в аренду себе или своим родственникам?,"Управляющему запрещено сдавать вакф в аренду себе или своим сыновьям-иждивенцам, даже по цене выше рыночной, кроме как через суд. Также запрещено сдавать его в аренду прямым родственникам или супругу по цене ниже рыночной."
5/3/3,Запрет для управляющего,Может ли управляющий использовать доход вакфа для увеличения его имущества?,Нетза исключением случаевкогда это делается во исполнение условияустановленного вакифом.
5/3/4,Запрет для управляющего,Может ли управляющий закладывать имущество вакфа?,Нетуправляющему запрещено закладывать активы вакфа под долгполученный для вакфа или его бенефициаров.
5/3/5,Запрет для управляющего,Может ли управляющий предоставлять активы вакфа в долг?,Нет. Если он это сделаетзаемщик обязан уплатить обычную арендную плату за аналогичные активы.
5/3/6,Постановление Шариата,В каких случаях дозволено заимствовать средства для вакфа?,Заимствование для вакфа запрещеноза исключением случаевкогда это делается во исполнение условия вакифас разрешения законных властей или в случае необходимости.
5/3/6/1,Постановление Шариата,Какими способами можно создавать долговые обязательства для вакфа?,Долговые обязательства для вакфа допустимы через дозволенные способы заимствованияпокупки с отсрочкой платежа или другие дозволенные формы финансирования. Это должно делаться для поддержания и развития вакфа и с учетом его способности погасить долг.
5/3/6/2,Юридическое обоснование,Что оправдывает заимствование для вакфа (если это не оговорено вакифом)?,"а) Необходимость содержания или развития вакфа при отсутствии достаточного дохода; б) Оплата финансовых обязательств при нехватке средств; в) Невозможность выплаты заработной платы работникам, что ставит под угрозу выгоды от вакфа."
5/3/6/3,Запрет,Можно ли занимать деньги для выплат бенефициарам вакфа?,Нетзаимствование не должно осуществляться с целью расходования средств на бенефициаров вакфа.
5/4,Постановление Шариата,Как можно использовать избыточный доход от вакфа мечети?,"В принципе, доход вакфа конкретной мечети должен тратиться на ее нужды. Если остается избыток, его разрешается передать другой мечети, у которой недостаточно средств на расходы, содержание или ремонт."
5/5/1,Принцип управления,Какова роль судебной власти в надзоре за вакфом?,В силу государственной опекисудебная власть уполномочена осуществлять надзор за управлением вакфомсохранностью его активов и развитием его источников. Суд также имеет право расследовать жалобы и применять дисциплинарные меры к управляющему.
6/1,Принцип управления,Каково общее правило относительно долгосрочной аренды активов вакфа?,В принципедолгосрочная аренда не должна быть обычной практикойза исключением случаев очевидной выгоды и при условии использования переменной арендной платыпривязанной к точному и известному индексу.
6/2,Условие,По какой цене следует сдавать в аренду активы вакфа?,Активы или узуфрукты вакфа не должны сдаваться в аренду по цене ниже рыночной для аналогичного имущества. Сдача в аренду по более низкой цене допустима только в случае реальной необходимости.
6/3/1,Характеристика,Что такое договор аренды Хикр (Hikr) и каковы его условия?,"Хикр — это договор аренды, по которому земля вакфа остается в руках арендатора до тех пор, пока он платит рыночную арендную плату. Условия: у вакфа нет дохода для развития, нет желающих арендовать на фикс. срок с предоплатой, и Истибдаль невозможен."
6/3/2,Характеристика,Что такое Хакк аль-Карар (Haqq al-Qarar)?,Это право арендатора на пребываниекоторое он получаетзаплатив единовременную сумму (Кардар) для развития вакфапри этом арендная плата устанавливается ниже рыночной. Это допустимо по необходимости.
7/1,Постановление Шариата,В каких случаях разрешено инвестировать доход вакфа?,"Инвестировать доход вакфа разрешено в следующих случаях: 1) В соответствии с условием, установленным вакифом. 2) В период ожидания (до определения бенефициаров). 3) При наличии избыточного дохода после выплат бенефициарам."
7/1,Условие,Какими методами и с каким риском следует инвестировать доход вакфа?,Инвестиции должны осуществляться с помощью дозволенных методовтаких как МударабаМушаракаМурабахаИджара и Салями должны быть низкорисковыми.
7/2,Постановление Шариата,Какие методы разрешены для освоения земель вакфа?,"Разрешено применение Истисна через контракты B.O.T., убывающей Мушараки для строительства зданий и Иджара Мунтахия Биттамлик для будущей поставки описанного имущества."
8/1/1,Принцип управления,Что имеет приоритет: расходы на содержание вакфа или выплаты бенефициарам?,Расходы на содержаниеремонт и восстановление активов вакфа должны предшествовать распределению дохода вакфа среди бенефициаров.
8/1/1,Постановление Шариата,Требуется ли предварительное условие от вакифа для проведения технического обслуживания активов вакфа?,Нетрасходы на содержание и ремонт активов вакфа не требуют предварительного условияустановленного вакифом.
8/1/2,Постановление Шариата,Можно ли создавать резерв на содержание из дохода вакфа?,Дасредства на содержание и ремонт должны удерживаться из дохода вакфа ежегоднодаже если вакиф не оговорил это. Этот резерв можно инвестироватьи доходы добавляются к основной сумме.
8/2,Постановление Шариата,Можно ли делать отчисления на замену активов вакфа?,Даразрешается вычитать из дохода вакфа (после распределения бенефициарам) периодические суммысоразмерные экономическому сроку службы изнашивающихся активовдля их последующей замены (амортизационные отчисления).
9/1,Определение,Что такое Истибдаль (Istibdal)?,Истибдаль — это процесс продажи актива вакфа и покупки нового взамен с целью максимизации интересов вакфа.
9/2,Постановление Шариата,В каких случаях может производиться Истибдаль?,Истибдаль может производиться в соответствии с условием вакифаили когда вакф приходит в упадокили когда невозможно извлечь из него выгодуили есть страх его захвата.
9/3,Условие,Каким условиям должен соответствовать Истибдаль?,"1) Вакф должен перестать приносить доход, и нет средств для его развития. 2) В цене продажи не должно быть чрезмерной несправедливости. 3) Истибдаль должен отвечать интересам вакфа. 4) Истибдаль должен быть разрешен судом."
Приложение (B),Основа Шариата / Хадис,Каково шариатское основание для дозволенности вакфа?,"Основанием являются аяты Корана, призывающие к добру, и хадис о ""непрерывной милостыне"" (Садака джария), которой считается вакф. Также основанием служит хадис о земле Умара в Хайбаре и практика сподвижников."
Приложение (B),Юридическое обоснование,На чем основана дозволенность семейного вакфа?,"Дозволенность семейного вакфа основана на хадисе о вакфе Умара, а также на том, что семейный вакф в конечном итоге становится благотворительным."
Приложение (B),Юридическое обоснование,Почему принятие (acceptance) не является условием для действительности вакфа?,"Принятие не является условием, когда бенефициар не указан, так как его невозможно ожидать. Если конкретный бенефициар отказывается от вакфа, его права аннулируются, но сам вакф остается действительным (мнение ханафитской школы)."
Приложение (B),Юридическое обоснование,На чем основана дозволенность временного вакфа?,Дозволенность временного вакфа основана на мнениях маликитской и имамитской школ фикхаа также на сообщении от Абу Юсуфа. Временный вакф может выполнять благотворительные цели и приносить пользу как обществутак и вакифу.
Приложение (B),Юридическое обоснование,Почему вакиф должен обладать полной правоспособностью?,"Это требование основано на том, что вакф по своей сути является пожертвованием (Табарру), для совершения которого требуется полная правоспособность."
Приложение (B),Юридическое обоснование,"Почему вакф может быть неблаготворительным, но не может быть для запретной цели?",Это основано на томчто вакф — это пожертвование (Табарру)и единственным шариатским условием является дозволенность цели. Это мнение маликитской школы.
Приложение (B),Юридическое обоснование,На чем основано утверждение о правосубъектности вакфа?,Вакф имеет независимую правосубъектностьпоскольку он может принимать и давать обязательства. Напримересли управляющий занимает деньги для вакфадолг ложится на сам вакфа не на управляющего.
Приложение (B),Юридическое обоснование,На чем основана дозволенность вакфа на движимое имущество?,Это основано на практикесуществовавшей во времена Пророка (мир ему) и праведных халифов в отношении создания вакфов для мечетей. Это мнение поддерживается большинством ученых фикха.
Приложение (B),Юридическое обоснование,На чем основана дозволенность вакфа на деньги?,"Это считается первоначальной формой вакфа, что подчеркивал Мухаммад ибн Абдулла аль-Ансари и поддерживал Ибн Таймия. Акции и сукук подпадают под этот тип вакфа."
Приложение (B),Основа Шариата / Хадис,На чем основано требование соблюдать условия вакифа?,"Это основано на хадисе: ""Мусульмане связаны условиями, которые они заключают... кроме условия, которое разрешает запрещенное или запрещает разрешенное (Шариатом)""."
Приложение (B),Юридическое обоснование,На чем основана дозволенность создания резервного фонда для содержания вакфа?,Это основано на стремлении сохранить активы вакфа и их способность приносить доходчто было подчеркнуто рядом ученых фикха.
Приложение (B),Юридическое обоснование,На чем основана дозволенность Истибдаля?,Истибдаль дозволенпоскольку он служит интересам вакфа через его развитие и максимизацию дохода.
Приложение (C),Определение,Что такое Вакф Ахли (Waqf Ahli)?,Это семейный вакфдоход от которого идет самому вакифуего детямопределенному кругу лиц или конкретной организации на определенный период.
Приложение (C),Определение,Что такое Вакф Хайри (Waqf Khayri)?,Это благотворительный вакфдоход от которого идет на благотворительные цели без указания конкретного бенефициара. Может быть вечным или временным.
Приложение (C),Определение,Что такое Хикр или Тахкир (Hikr or Tahkir)?,Договор арендыпо которому земля вакфа остается у арендатора для застройки или обработкипока он платит рыночную арендную плату. Это финансовое правокоторое не наследуется.
Приложение (C),Определение,Что такое Ирсад или Тахсис (Irsad or Takhsis)?,Случайкогда государственные органы выделяют участок государственной земли для общественных нужд (школбольниц). Это не считается вакфомтак как земля выделяется темкто ею не владеет.
Приложение (C),Определение,Что такое Хакк аль-Карар (Haq Al-Qrar)?,Преимущественное право на застройку или обработку земли вакфа. Иногда известно как Кадак (Kadak) и применяется при аренде магазинов и фабрик.
Предисловие,Цель стандарта,Какова цель шариатского стандарта №34 о найме людей?,Указать шариатские постановления о найме людей в его двух формах: найм частного работника (Аджир Хас) и найм общего работника (Аджир Муштарак).
Предисловие,Характеристика,Какие виды работников рассматриваются в стандарте?,"Стандарт рассматривает наем частного работника (Ajir Khas), работающего на одного работодателя, и общего работника (Ajir Mushtarak), работающего на нескольких."
SS(34) - 1,Область применения,Что охватывает стандарт №34?,Стандарт охватывает найм услуг/работы людей между учреждением и другими учреждениями или частными лицамикогда учреждение является как нанимателемтак и нанимаемым.
SS(34) - 1,Область применения,Какие контракты не входят в область применения стандарта №34?,"Стандарт не распространяется на такие контракты, как Мудараба, инвестиционное агентство, Мусакат, Музараа, Мугараса и Истисна."
SS(34) - 2,Определение,"Что такое ""найм людей"" согласно стандарту?",Это договорпо которому услуга/работа физического или юридического лица получается за определенную плату. Услуга может быть конкретной или будущейтребующей детального описания.
SS(34) - 3/1,Постановление Шариата,Разрешено ли заключать рамочное соглашение о найме?,"Нет шариатского запрета на заключение рамочного соглашения для регулирования процесса найма, но для каждой операции должен быть отдельный договор, подписанный обеими сторонами."
SS(34) - 3/2,Постановление Шариата,Может ли учреждение требовать гарантийный взнос при обязательстве о найме?,Даучреждение имеет право запросить у клиентаобязующегося нанять его услугиуплату определенной суммы в качестве гарантии серьезности намерений.
SS(34) - 3/2,Постановление Шариата,Что происходит с гарантийным взносом,если клиент отказывается от обязательства?В случае отказа клиентаудержание из гарантийной суммы не должно превышать фактического причиненного ущерба.
SS(34) - 4/1,Правило заключения договора,В какой форме может быть заключен договор найма?,Договор найма может быть заключен в любой формекоторая обычно его обозначает: устнописьменно или с помощью современных средств связи.
SS(34) - 4/2,Условие договора,Какое требование предъявляется к сторонам договора найма?,"Обе стороны договора (работодатель и работник) должны быть юридически дееспособными, иначе договор не может быть заключен."
SS(34) - 4/3,Постановление Шариата,Может ли частный работник работать на кого-то еще?,Частный работник (Ajir Khas) не имеет права работать на кого-либо еще одновременно без разрешения своего работодателя. Это ограничение не распространяется на общего работника (Ajir Mushtarak).
SS(34) - 4/4,Условие договора,Какую информацию должен получить частный работник при найме?,"Частный работник должен быть проинформирован о периоде найма и типе работы, которую он должен выполнять в общих чертах."
SS(34) - 4/4,Условие договора,Какую информацию должен получить общий работник при найме?,"Общий работник должен быть проинформирован о работе, ее типе и спецификациях. Также может быть указан конкретный период для выполнения работы."
SS(34) - 4/5,Постановление Шариата,Несет ли частный работник ответственность за ущерб?,Частный работник не несет ответственности за ущербесли только он не вызван его собственным нарушениемхалатностью или несоблюдением оговоренного условия.
SS(34) - 4/6,Постановление Шариата,Несет ли общий работник ответственность за ущерб?,Общий работник несет полную ответственность за ущербесли он не вызван неизбежным фактором. Это отличает его от инвестиционного агентакоторый не несет ответственностикроме как в случае нарушения или халатности.
SS(34) - 4/7,Характеристика,Является ли договор найма обязательным к исполнению?,Дадоговор найма является обязывающим договоромкоторый ни одна из сторон не может расторгнуть или изменить без согласия другойза исключением случаев нарушения договорачрезвычайных обстоятельств или непреодолимой силы.
SS(34) - 4/8,Правило заключения договора,Когда начинается период найма для частного работника?,"Период найма должен быть указан и начинается с момента подписания договора, если стороны не договорились о конкретной дате начала (отложенный найм)."
SS(34) - 4/9,Постановление Шариата,"Что происходит, если частный работник не выходит на работу в указанный срок?",Он не имеет права на оплату за период отсутствия. Работодатель имеет право расторгнуть договоресли стороны не договорятся о компенсационном периоде в конце срока договора.
SS(34) - 4/11,Постановление Шариата,Разрешено ли работнику получать задаток (Арбун)?,"Да, нет шариатского запрета. Если договор исполнен, задаток становится предоплатой. Если договор не исполнен, задаток остается у работника, но предпочтительно, чтобы он удержал только сумму, компенсирующую фактический ущерб."
SS(34) - 5/1/1,Условие договора,Каким требованиям должна соответствовать услуга/работа по договору найма?,Услуга/работа работника должна быть хорошо известнойвыполнимой и разрешенной по Шариату.
SS(34) - 5/1/2,Постановление Шариата,"На что имеет право работник, если он выполнил только часть работы в указанный срок?","Если выполненная часть бесполезна, работник не получает оплаты. Если она полезна, а работодатель не желает продлевать срок, работник получает справедливую оплату за аналогичную работу (Ajr al-Mithl)."
SS(34) - 5/1/3,Постановление Шариата,Разрешен ли субподряд (наем суб-работника)?,Работодатель не имеет права перенанимать услугу работника суб-работодателюесли это не разрешено договором или не согласовано сторонами. Однако разрешен параллельный найм для будущей идентичной услуги.
SS(34) - 5/1/5,Постановление Шариата,"Можно ли нанять учреждение для оказания конкретной услуги, которой оно еще не владеет?",Нетэто недопустимо. Чтобы учреждение (в качестве работника) заключило договор на оказание конкретной услугионо должно владеть этой услугой и иметь возможность ее предоставить.
SS(34) - 5/1/6,Постановление Шариата,Можно ли заключить договор найма на оказание будущей услуги?,Даможно. Услуга должна быть хорошо описаначтобы исключить двусмысленность. В этом случае работнику не обязательно владеть услугой до подписания договора.
SS(34) - 5/2/1,Условие договора,Какой может быть форма оплаты за работу?,"Оплата может быть в денежной форме, в натуральной форме или в виде услуги. Она должна быть хорошо известна, чтобы исключить споры, и может быть фиксированной или переменной по известному обеим сторонам методу."
SS(34) - 5/2/2,Способы определения оплаты,Как может определяться оплата труда?,"Оплата может быть определена за всю работу целиком, по частям (в рассрочку), за определенный период времени, или на основе комбинации объема работы и периода."
SS(34) - 5/2/3,Постановление Шариата,Когда оплата становится обязательной и подлежащей выплате?,Оплата становится обязательной при подписании договора. Она подлежит выплате при оказании услуги/работы или предоставлении работника в распоряжение работодателя. Нет запрета на авансовую оплату.
SS(34) - 5/2/4,Постановление Шариата,Допустима ли переменная оплата труда?,"Да, но сумма оплаты за первый период должна быть известна. Для последующих периодов можно использовать точный, известный и согласованный сторонами индикатор, который должен иметь верхний и нижний пределы."
SS(34) - 5/2/5,Постановление Шариата,Можно ли изменять размер оплаты труда?,"Разрешается по обоюдному согласию изменять размер оплаты за будущие периоды. Однако неоплаченные суммы за прошлые периоды становятся долгом, и условие об их увеличении (реструктуризация) недопустимо."
SS(34) - 5/2/6,Постановление Шариата,Может ли оплата быть определена как процент от результата?,Даоплата может быть определена как процент от произведенной продукции (например10%) или как часть изготавливаемой вещи.
SS(34) - 5/2/7,Постановление Шариата,Допустимо ли условие об ускорении платежей при просрочке?,Дадопустимо оговорить в договоречто в случае просрочки работодателем очередного платежа без уважительной причинывсе остальные платежи становятся подлежащими немедленной уплате.
SS(34) - 5/2/8,Постановление Шариата,Допустимо ли условие о штрафе за просрочку платежа работодателем?,Недопустимо устанавливать условиеведущее к увеличению согласованной платы. Однако договор может включать обязательство работодателя пожертвовать процент от суммы на благотворительные цели в случае просрочки.
SS(34) - 5/2/9,Постановление Шариата,Допустимо ли устанавливать несколько ставок оплаты за одну и ту же работу?,Даможно договориться о разных ставках оплаты в зависимости от срока выполнения (напримербольше плата за более короткий срок) или в зависимости от местатипа или специализации работы.
SS(34) - 6/1,Постановление Шариата,Имеют ли стороны право требовать гарантии по договору найма?,"Да, работник имеет право получить допустимые гарантии (залог, поручительство, перевод права, взаимозачет) для обеспечения получения оплаты. Работодатель также имеет право получить гарантии возмещения ущерба в случае нарушения со стороны работника."
SS(34) - 7/1/1,Обязательство работника,Каковы основные обязательства работника?,Частный работник должен оказывать услуги работодателю и соблюдать период найма. Общий работник должен выполнять работу в соответствии с договоренностью и в установленный срок.
SS(34) - 7/1/2,Обязательство работника,Должен ли работник выполнять работу лично?,В принципедаесли он нанят для выполнения конкретной работы. Однако это не относится к найму для оказания будущейчетко определенной услугигде важно соблюдение всех спецификаций.
SS(34) - 7/1/3,Постановление Шариата,Можно ли установить штраф для работника за задержку выполнения работы?,Дадопустимо оговорить в договоре штрафную санкциюуказывающую конкретную суммукоторую работник должен уплатить работодателю в случае задержки выполнения работы/услуги.
SS(34) - 7/2/1(a),Обязательство работодателя,Каково основное обязательство работодателя по оплате?,"Работодатель обязан производить оплату авансом, с отсрочкой или в рассрочку, как было согласовано. При отсутствии соглашения, оплата производится после оказания полной услуги или по истечении срока найма."
SS(34) - 7/2/1(b),Обязательство работодателя,Обязан ли работодатель предоставлять работнику условия для работы?,Даработодатель обязан предоставить работнику оборудование/условияесли это требуется для выполнения работы или если это оговорено в договоре.
SS(34) - 8/1/1,Правило расторжения,"В каких случаях договор найма расторгается в связи с чрезвычайными обстоятельствами, касающимися работника?",Договор расторгается в случае смерти работникаполной потери им дееспособностиили неспособности работать из-за травмы или болезни в течение длительного периода.
